방송사,카테고리,내용요약
SBS,정치,"이시바 일본 총리는 경제 위기를 '국란'으로 표현하며 트럼프 미국 대통령과의 교섭을 추진하고 있습니다. 한국에서는 21대 대통령 선거 날짜가 6월 3일로 잠정 결정되었으며, 개헌 논의가 대선 후에 이루어져야 한다는 주장이 있습니다. 윤석열 전 대통령과 김건희 여사가 검찰 소환 조사를 받을 가능성이 높아지고 있으며, 헌법재판소는 박성재 법무부 장관의 탄핵 심판을 포함한 사건들을 선고할 예정입니다."
SBS,사회,"경제 위기로 인해 투자자들이 불안감을 느끼고 있으며, 미국 내에서는 트럼프의 관세 정책에 반대하는 시위가 조직되고 있습니다. 한국에서는 선거일 확정 시 수능 모의평가 일정이 변경될 가능성이 있습니다. 김건희 여사는 과거 의혹으로 검찰청사에서 조사가 이루어질 전망이며, 대전 도심에서 10대 청소년들이 무면허 운전 혐의로 불구속 송치되었습니다."
SBS,국제,"트럼프 행정부의 관세 전쟁으로 전 세계 증시가 타격을 받고 있으며, 중국은 히토류 수출 통제 조치를 발표했습니다. 미국과 중국 간의 관세 전쟁이 전 세계로 확산되고 있으며, EU와 캐나다도 보복 관세를 검토 중입니다."
SBS,경제,"한국의 코스피와 코스닥 지수가 하락하며 시가총액이 감소했습니다. 미국과 중국의 관세 전쟁으로 금융시장의 불확실성이 커지고 있으며, 한국 정부는 시장 안정 프로그램을 준비하고 있습니다. 인공지능 로봇이 퇴직연금을 대신 운용해주는 서비스가 출시되었습니다."
SBS,기타,"중국의 히토류 수출 통제 조치로 인해 한국 정부는 대체제 확보에 주력하고 있습니다. 헌법재판소는 문영배, 이미선 헌법재판관의 퇴임 이전에 계류 중인 사건들을 최대한 매듭짓기 위해 선고 일정을 앞당겼습니다. 경남 산청과 하동에서 산불이 발생하여 주민 300여 명이 긴급 대피하였으며, 진화 작업이 진행 중입니다."
JTBC,정치,"조기 대선이 확정된 후 경제 회복이 새 대통령의 최우선 과제로 부각되었으며, 윤석열 전 대통령의 탄핵과 관련된 논란이 지속되고 있습니다. 국민의힘 내 강성 친윤계의 내부 갈등이 드러나고 있으며, 윤 전 대통령의 복귀 여부에 대한 관심이 높아지고 있습니다."
JTBC,사회,"트럼프 대통령의 관세 정책에 대한 반대 시위가 미국 전역에서 격화되고 있으며, 윤석열 전 대통령의 탄핵 이후 지지자들의 반발이 이어지고 있습니다. 국민의힘 이철규 의원의 아들이 마약 정밀검사에서 대마 양성 반응이 나왔습니다."
JTBC,국제,"트럼프 대통령의 관세 정책으로 인해 세계 증시가 하락하고 있으며, 일본 총리는 트럼프 대통령과의 정상 통화를 조율 중입니다. 인요한 의원은 외신 인터뷰에서 윤 전 대통령의 파면에 대해 비판적인 입장을 보였습니다."
JTBC,경제,"한국 증시는 외국인 투자자의 대규모 매도로 하락했으며, 트럼프 대통령의 관세 정책으로 뉴욕 증시의 시가총액이 감소했습니다. 정부는 저출생 대책으로 육아 단축 근무 중인 직원을 대신해 일을 더하는 동료 직원에게 매달 20만 원을 지급하는 제도를 도입했습니다."
JTBC,기타,"트럼프 대통령의 관세 정책과 관련된 비판이 이어지고 있으며, 일본 게임사 닌텐도는 관세 영향으로 제품 출시 일정을 조정했습니다. 서울에 벚꽃이 평년보다 빨리 피어 시민들이 꽃구경을 즐기고 있으며, 남부지방에서는 산불이 발생해 소방당국이 진화 작업을 벌이고 있습니다."
KBS,정치,"트럼프 대통령은 미국 무역적자의 해결책으로 관세를 강조하며, 중국과의 협상 전까지는 관세 정책을 유지할 것이라고 밝혔습니다. 또한, 세계 각국의 협상 요청이 이어지고 있지만, 추가 관세는 연기되지 않을 것이라고 발표했습니다."
